Days,Show (MG8),Media Views,Play Duration - Decimal (minutes),Media Views
2020-12-05,Der Bestatter,1114,35979,1114
2020-12-19,Der Bestatter,1105,35702,1105
2020-11-28,Bis dass der Tod euch scheidet,1105,22607,1105
2020-11-23,Frieden,1102,27012,1102
2020-12-21,Der Bestatter,1100,38596,1100
2020-11-22,Wilder,1092,30758,1092
2021-01-29,La grande histoire du ski,1092,8966,1092
2020-11-07,Wilder,1091,16264,1091
2021-01-15,Der Bestatter,1087,39483,1087
2020-12-11,Der Bestatter,1086,31749,1086
2020-12-23,Der Bestatter,1074,36808,1074
2021-01-31,La grande histoire du ski,1072,9516,1072
2021-03-02,Wilder,1067,29395,1067
2021-03-14,Liebe und andere Unfälle,1065,30650,1065
2020-12-22,Der Bestatter,1064,36579,1064
2020-12-12,Der Bestatter,1061,35952,1061
2021-03-04,Wilder,1061,29137,1061
2021-01-23,Der Bestatter,1060,39370,1060
2021-01-13,Der Bestatter,1060,38162,1060
2020-12-16,Cellule de crise,1059,26627,1059
2021-03-03,Wilder,1057,26644,1057
2020-12-22,Cellule de crise,1057,25091,1057
2021-01-24,Der Bestatter,1048,40539,1048
2020-11-29,Frieden,1046,25819,1046
2020-12-31,Der Bestatter,1045,36193,1045
2021-03-21,Wilder,1045,27297,1045
2020-12-26,Wilder,1037,33372,1037
2021-01-12,Der Bestatter,1033,38781,1033
2021-01-28,Der Bestatter,1028,35422,1028
2020-12-06,Advent; Advent,1024,12531,1024
2021-01-30,Der Bestatter,1023,39985,1023
2021-01-25,Der Bestatter,1023,32564,1023
2020-12-08,Der Bestatter,1009,30752,1009
2021-02-18,Die göttliche Ordnung,1009,22201,1009
2021-01-20,Der Bestatter,1008,37010,1008
2020-12-09,Der Bestatter,1006,31929,1006
2021-01-18,Der Bestatter,1002,38309,1002
2021-02-07,Der Bestatter,1001,39255,1001
2020-11-21,Wilder,996,27574,996
2020-12-18,Cellule de crise,993,24072,993
2021-02-01,Der Bestatter,991,34682,991
2021-03-16,Wilder,986,23712,986
2021-01-14,Der Bestatter,980,39258,980
2021-03-14,Der Bestatter,979,27633,979
2020-12-17,Cellule de crise,977,26435,977
2020-12-15,Der Bestatter,976,32349,976
2020-11-13,Wilder,976,21103,976
2020-12-07,Der Bestatter,975,33842,975
2021-03-12,Liebe und andere Unfälle,969,28077,969
2021-02-08,Der Bestatter,969,27775,969
2021-01-21,Der Bestatter,968,34322,968
2021-01-19,Der Bestatter,967,37354,967
2020-12-17,Der Bestatter,967,34483,967
2021-01-26,Der Bestatter,965,31639,965
2021-01-22,Der Bestatter,963,37971,963
2021-01-27,Der Bestatter,959,35250,959
2020-11-29,Der Bestatter,958,29514,958
2020-12-14,Der Bestatter,956,32214,956
2020-11-14,Seitentriebe,955,10235,955
2021-03-20,Wilder,951,25547,951
2021-03-12,Wilder,950,24440,950
2020-11-22,Der Bestatter,947,19230,947
2021-01-02,Frieden,941,30256,941
2020-12-10,Der Bestatter,936,32159,936
2021-01-29,Der Bestatter,935,35071,935
2021-02-22,Der Bestatter,926,26559,926
2020-11-11,Das Fräulein,924,4020,924
2020-12-27,Frieden,921,25698,921
2020-12-12,Frieden,917,26014,917
2020-11-08,Seitentriebe,917,11971,917
2021-03-08,Wilder,916,23407,916
2020-12-18,Der Bestatter,913,31581,913
2021-02-04,Der Bestatter,913,31165,913
2021-02-28,Der Bestatter,909,28289,909
2021-02-24,Der Bestatter,909,24348,909
2020-11-30,Der Bestatter,908,26514,908
2020-12-16,Der Bestatter,905,32657,905
2021-03-11,Wilder,904,22350,904
2020-11-14,Wilder,895,22175,895
2021-03-10,Wilder,888,21439,888
2020-12-26,Titeuf; le film,886,9091,886
2020-12-31,Wilder,885,25569,885
2021-02-03,Der Bestatter,882,33265,882
2020-11-30,Advent; Advent,877,7538,877
2021-01-03,Frieden,873,25937,873
2020-12-13,Frieden,873,25036,873
2021-02-12,Die göttliche Ordnung,873,18310,873
2020-12-12,Metta da fein,871,11864,871
2020-11-16,Seitentriebe,866,10095,866
2021-02-23,Der Bestatter,861,25046,861
2020-12-14,Advent; Advent,859,8956,859
2021-03-17,Wilder,856,23383,856
2020-12-29,Nacht in der Schweiz,855,15039,855
2021-01-01,Frieden,854,26272,854
2020-11-13,Das Fräulein,847,4135,847
2020-12-01,Der Bestatter,842,27460,842
2020-11-07,Zabardast: journal intime en haute altitude,842,7785,842
2020-11-24,Frieden,838,22901,838
2021-02-27,Der Bestatter,834,24632,834
2020-12-25,Titeuf; le film,834,7752,834
2021-03-09,Wilder,832,21996,832
2020-11-07,Gotthard,832,4766,832
2020-12-26,Frieden,828,23256,828
2020-12-25,Nacht in der Schweiz,827,12858,827
2021-02-14,Die göttliche Ordnung,826,18517,826
2021-02-02,Der Bestatter,823,30024,823
2020-11-15,Quartier des banques,823,18065,823
2020-11-09,Wilder,822,15472,822
2021-03-21,Der Bestatter,821,23910,821
2020-11-08,Quartier des banques,821,16610,821
2020-12-21,Advent; Advent,821,11456,821
2020-11-07,Helvetica,819,10725,819
2020-11-14,Quartier des banques,817,16502,817
2020-12-20,Frieden,814,22900,814
2021-01-02,Dominique,814,6323,814
2021-02-13,Der Bestatter,811,27799,811
2020-11-11,Wilder,811,19212,811
2021-01-28,La grande histoire du ski,810,8033,810
2020-11-28,Der Bestatter,809,23753,809
2021-01-01,Dominique,809,6053,809
2021-02-06,Der Bestatter,808,32075,808
2021-03-06,Der Bestatter,808,24537,808
2020-12-04,Der Bestatter,807,23938,807
2020-12-12,Advent; Advent,802,6284,802
2020-12-02,Der Bestatter,800,25163,800
2020-12-27,Titeuf; le film,799,8079,799
2020-12-28,Frieden,796,23266,796
2020-12-27,Cellule de crise,794,23242,794
2021-02-05,Der Bestatter,793,29827,793
2021-02-21,Der Bestatter,790,24992,790
2020-11-15,Wilder,789,21059,789
2020-11-15,Zabardast: journal intime en haute altitude,788,4533,788
2020-11-23,Wilder,787,20394,787
2020-11-20,Wilder,787,18141,787
2020-12-11,Advent; Advent,787,5996,787
2020-12-25,Wilder,780,28593,780
2020-12-23,Cellule de crise,780,22536,780
2021-03-05,Der Bestatter,779,21641,779
2021-03-09,Der Bestatter,779,20001,779
2020-11-28,Frieden,778,22905,778
2021-03-13,Der Bestatter,776,23028,776
2021-02-12,Seitentriebe,774,9701,774
2020-12-24,Der Bestatter,773,23943,773
2021-03-22,Wilder,773,20493,773
2020-11-25,Frieden,771,22672,771
2020-11-13,Seitentriebe,770,8822,770
2021-02-05,Das Fräuleinwunder,767,20067,767
2020-11-29,Wilder,766,22993,766
2021-02-26,Der Bestatter,766,22521,766
2021-02-13,Seitentriebe,765,10549,765
2021-03-15,Wilder,764,18487,764
2020-11-16,War Photographer,764,4931,764
2020-11-14,Zabardast: journal intime en haute altitude,764,4040,764
2021-02-24,Handyman,760,7114,760
2021-02-25,Der Bestatter,757,21857,757
2021-02-02,La grande histoire du ski,756,5061,756
2021-03-04,Der Bestatter,755,22063,755
2020-11-25,Der Bestatter,755,15694,755
2020-11-10,Wilder,754,14964,754
2021-03-01,Tatort – Schoggiläbe,746,19800,746
2020-11-28,Wilder,744,23799,744
2021-03-11,Der Bestatter,744,19998,744
2021-01-04,Seitentriebe,743,10273,743
2020-11-23,Der Bestatter,742,15799,742
2020-12-19,Cleveland versus Wall Street,742,3492,742
