Days,Show (MG8),Media Views,Play Duration - Decimal (minutes),Media Views
2021-03-20,Frühling im Herbst,13,274,13
2021-03-16,Der Schatten des Sohnes,13,274,13
2020-12-30,La lumière de l espoir,13,274,13
2021-01-14,Das Fräulein,13,274,13
2021-01-04,Vecchi pazzi,13,273,13
2020-12-26,Tatort – Schutzlos,13,273,13
2020-11-26,Bulle,13,273,13
2020-12-16,Hoch hinaus – Die China Expedition,13,272,13
2020-12-22,Foodwaste – Was tun?,13,272,13
2020-11-13,J.S. Bach: Passione secondo Matteo - Prima parte,13,271,13
2021-02-12,Ondes de choc - Journal de ma tête,13,271,13
2021-01-08,Schweiz von oben,13,269,13
2020-12-14,Kriminalfälle - Schweizer Verbrechen im Visier - Der Todespfleger aus der Innerschweiz,13,269,13
2021-02-02,Clara und das Geheimnis der Bären,13,269,13
2020-12-27,«Wie oberflächlich!» – von der Inszenierung unserer Erscheinung,13,268,13
2021-01-24,Le nevi della seta,13,268,13
2020-12-14,Die Schweizer Geheimarmee P-26,13,268,13
2020-12-12,Nachbeben,13,267,13
2020-11-18,Tatort - Schmutziger Donnerstag,13,266,13
2020-12-27,NETZ NATUR - Rehbock; ledig; sucht...,13,266,13
2021-01-16,Giovanni Segantini - Magie des Lichts,13,265,13
2021-01-23,Sur tous les fronts avec le CICR,13,265,13
2020-12-26,Dimitri,13,264,13
2020-11-12,Le train le plus difficile du monde,13,264,13
2021-02-12,Die Bestatterinnen,13,263,13
2020-12-26,Cecilia Bartoli; Diva,13,263,13
2020-11-15,Adesso basta... cambio vita!,13,263,13
2021-01-03,Beethoven - Concerto per pianoforte n. 3,13,262,13
2020-11-26,Die Schweizer Geheimarmee P-26,13,261,13
2021-01-09,«Rega 1414 – Der Film»,13,260,13
2020-12-20,Die Wahrheit hinter der Bewegung – warum Sport so wichtig ist,13,259,13
2021-01-21,Quand la police devine le crime,13,259,13
2021-01-26,Titeuf; le film,13,259,13
2021-01-30,Drama am Gauligletscher,13,257,13
2020-12-13,Dans le viseur du royaume Saoudien,13,257,13
2020-11-24,Bernhard Russi,13,257,13
2021-01-11,Alles fuhr Ski,13,257,13
2021-03-21,La stagiaire,13,257,13
2020-12-22,Les ailes de Patagonie,13,256,13
2021-01-07,Kriminalfälle Sélection - Das Attentat von Zug,13,255,13
2021-02-06,Ondes de choc - La Vallée,13,255,13
2020-11-10,Reise der Hoffnung,13,255,13
2021-03-19,Der Läufer,13,254,13
2020-11-12,Heimatland,13,254,13
2020-12-08,CROM,13,254,13
2020-11-28,Die Schweizer Geheimarmee P-26,13,254,13
2020-12-16,Boomerang !,13,253,13
2021-01-19,Atterrissage forcé,13,253,13
2021-03-01,Ondes de choc - La Vallée,13,252,13
2021-03-14,Abenteuer Alpen - Die Skitour des Lebens,13,252,13
2021-03-22,Piff Paff Puff,13,252,13
2021-03-24,Lento è bello,13,251,13
2020-11-20,Die Langstrasse im Wandel,13,251,13
2021-03-21,Freie Fahrt mit Yann Lambiel und Stan Wawrinka,13,251,13
2020-12-19,Blockchain verstehen: die digitale Zukunft wird dezentral,13,250,13
2020-12-29,Les ailes de Patagonie,13,250,13
2021-03-06,Der Kreis,13,249,13
2021-02-02,Ma vie de courgette,13,249,13
2021-03-18,Train Bernina express,13,249,13
2021-03-13,Nacht in der Schweiz,13,249,13
2021-01-17,Blenio; Utah,13,248,13
2021-02-07,SRF bi de Lüt - Winter Wunderland,13,248,13
2020-12-03,Bernhard Russi,13,247,13
2021-02-17,Port d attache,13,246,13
2021-01-30,Clay Regazzoni - Leben am Limit,13,246,13
2020-12-13,War der erste Mensch ein Europäer?,13,246,13
2021-01-04,The Pathan Project,13,246,13
2020-12-19,«Rega 1414 – Der Film»,13,246,13
2020-12-27,Album de famille,13,245,13
2021-02-12,Cronofobia,13,244,13
2021-03-08,Un milione di scapoli in cerca damore,13,242,13
2020-11-25,Gennaro Pulice: un killer a Viganello,13,242,13
2020-12-29,Beethoven - Concerto per pianoforte n. 3,13,242,13
2020-12-17,NETZ NATUR - Wahrheiten über Märchentiere,13,241,13
2021-03-23,SRF bi de Lüt - Hüttengeschichten,13,241,13
2021-01-07,Cronache da Bondo - Un anno che ci ha cambiati,13,241,13
2021-03-04,Freie Fahrt mit Yann Lambiel und Stan Wawrinka,13,240,13
2020-11-11,Arktos : Le Voyage Intérieur de Mike Horn,13,239,13
2020-11-08,A l école des Philosophes,13,239,13
2021-02-01,Molly Monster - der Kinofilm,13,238,13
2021-03-18,Old Burma Road,13,238,13
2020-12-10,The Pathan Project,13,237,13
2021-02-12,Bulle,13,237,13
2021-01-05,Die Forensikerin – Von Verbrechern und ihren Spuren,13,236,13
2021-02-10,Train Bernina express,13,236,13
2021-03-11,Ma vie de courgette,13,235,13
2021-01-25,Le temps d Anna,13,235,13
2020-12-04,Adesso basta... cambio vita!,13,235,13
2021-01-03,Moon Race 2.0 – Das Rennen zum Mond damals und heute,13,235,13
2020-12-26,Der Wildheuer – Senkrecht über dem Urnersee Havarie-Sendung DOK,13,235,13
2021-01-02,Il viaggio di Laura,13,234,13
2020-11-11,Vielen Dank für nichts,13,234,13
2021-01-16,The Pathan Project,13,233,13
2020-12-24,Sonntagsvierer,13,233,13
2020-12-30,Boys Are Us,13,233,13
2020-11-28,Der Läufer,13,233,13
2021-03-08,Die Affäre Meili,13,232,13
2021-01-21,Délits de jeunesse,13,232,13
2020-12-07,Au fil des toblerones,13,232,13
2021-01-11,Cougar; oui ! Et alors ?,13,231,13
2020-12-05,Viehjud Levi,13,231,13
2021-02-19,Cronofobia,13,231,13
2020-11-26,Vincent Munier; Éternel Émerveillé,13,231,13
2020-12-16,Il était une fois les migrants italiens,13,230,13
2020-12-22,In cammino sulla Via Idra,13,230,13
2020-11-16,Cecilia Bartoli; Diva,13,229,13
2020-11-30,CROM,13,228,13
2021-02-15,Liebe auf Umwegen,13,228,13
2020-11-25,Cuntrasts - Samy Selvadi - Samuel Cantieni e sia libertad,13,228,13
2021-01-22,Almost there,13,227,13
2020-11-29,Kleine Lügen,13,227,13
2021-02-07,Lotto,13,227,13
2020-12-31,Viehjud Levi,13,226,13
2020-12-13,Allenati poco; dimagrisci molto,13,226,13
2021-01-25,Wasserwelten,13,226,13
2021-01-10,Lasst die Alten sterben,13,226,13
2020-11-10,Un barbiere a Lugano,13,226,13
2020-12-08,Matto regiert,13,225,13
2021-02-26,Un milione di scapoli in cerca damore,13,225,13
2020-12-31,Ondes de choc - La Vallée,13,225,13
2020-11-08,Reine des 3 pays,13,225,13
2021-02-18,Lauberhorn – Licht und Schatten am Schicksalsberg,13,225,13
2021-01-24,Il viaggio di Laura,13,225,13
2020-11-16,Upload,13,224,13
2020-12-19,Shelter,13,224,13
2021-01-29,Les gardiennes,13,224,13
2021-01-04,Cronache da Bondo - Un anno che ci ha cambiati,13,222,13
2020-11-17,Gens d hiver,13,221,13
2021-02-23,Nr. 47,13,221,13
2021-02-26,Reise der Hoffnung,13,220,13
2020-12-21,Die Forensikerin – Von Verbrechern und ihren Spuren,13,220,13
2021-03-09,Im Nirgendwo,13,219,13
2020-12-22,Dimitri,13,219,13
2020-12-21,Der grosse Sommer,13,219,13
2020-12-14,Die Buchenwald-Kinder – Eine Schweizer Hilfsaktion,13,218,13
2020-11-26,Ondes de choc - Sirius,13,218,13
2020-12-02,Game of Switzerland,13,218,13
2021-03-11,Dévoilées,13,217,13
2021-01-30,Dietro le quinte del lusso,13,216,13
2020-11-06,Millionenschwer verliebt,13,216,13
2021-01-21,Die Vierte Gewalt,13,216,13
2020-12-08,Il était une fois les migrants italiens,13,216,13
2021-01-20,Slow TV - Winter Wunderland Goms,13,215,13
2021-01-07,Bulle,13,215,13
2021-02-07,La buca,13,213,13
2020-12-19,Ein Schweizer Cop in New Orleans,13,213,13
2021-01-14,Schweizer Helden,13,213,13
2020-12-30,Generalstreik 1918,13,213,13
2021-02-06,L’appel aux arbres,13,212,13
2020-12-18,EMS-Chemie – Dunkle Helfer nach dem Zweiten Weltkrieg,13,211,13
2021-01-20,Train Bernina express,13,211,13
2021-01-01,Geneve; paradis des dictateurs,13,210,13
2020-12-22,War Photographer,13,209,13
2021-01-14,Doppelleben,13,209,13
2020-12-29,Lauberhorn – Licht und Schatten am Schicksalsberg,13,208,13
2021-03-16,Der perfekte Tag,13,208,13
2020-11-12,Zum Beispiel Suberg,13,208,13
2020-12-05,30 anni a novembre,13,208,13
2021-01-06,120 secondes présente la Suisse,13,208,13
2020-11-23,Die Affäre Conradi,13,207,13
2021-02-18,Ondes de choc - La Vallée,13,207,13
2021-03-03,Corona Hotspot New York,13,207,13
2020-12-16,Sur la piste des damnés de Daesh,13,206,13
2021-02-02,Lento è bello,13,206,13
2020-12-01,War Photographer,13,206,13
2020-12-21,Ambassade,13,205,13
2021-02-16,Einstein und das Geheimnis des Cheops,13,204,13
2021-01-27,Cuntrasts - I va ensi - il boom da mountainbike en il Grischun,13,204,13
2020-12-08,Game of Switzerland,13,204,13
2021-01-15,Yukon; la quête sauvage,13,204,13
2021-03-14,Vater; unser Wille geschehe,13,203,13
2021-03-06,Corona Hotspot New York,13,203,13
2021-02-14,Shelter,13,203,13
2021-01-31,Geneve; paradis des dictateurs,13,202,13
2020-11-17,Arktos : Le Voyage Intérieur de Mike Horn,13,202,13
2020-12-21,In cammino sulla Via Idra,13,202,13
2020-11-20,Cronache da Bondo - Un anno che ci ha cambiati,13,202,13
2021-03-23,Old Burma Road,13,202,13
2020-11-22,Gutachter des Bösen – Die Ära Frank Urbaniok,13,202,13
2020-12-27,Späte Liebe,13,201,13
2021-01-10,Reise der Hoffnung,13,201,13
2020-11-19,Vincent Munier; Éternel Émerveillé,13,201,13
2020-12-15,Frühling im Herbst,13,201,13
2021-01-27,Cronofobia,13,200,13
2021-01-14,Abenteuer Moscow,13,200,13
2020-11-07,Vater; unser Wille geschehe,13,200,13
2020-12-10,Hoch hinaus – Die China Expedition,13,199,13
2021-01-23,Das Geheimnis im Bodensee,13,199,13
2021-03-15,Molly Monster - der Kinofilm,13,199,13
2021-02-12,Julie; regina dei veterinari,13,199,13
2021-01-10,Vincent Munier; Éternel Émerveillé,13,199,13
2021-02-01,Altitudes,13,199,13
2020-12-09,Paysans en détresse,13,199,13
2021-02-15,Julie; regina dei veterinari,13,198,13
2020-12-20,San Gottardo,13,198,13
2021-02-13,Advent; Advent,13,198,13
2021-02-17,Dévoilées,13,198,13
2020-11-29,Die Spur der Schlange - Auf der Suche nach den Nazi-Milliarden,13,198,13
2020-12-26,Späte Liebe,13,198,13
2020-12-19,In cammino sulla Via Idra,13,197,13
2020-12-28,Cronache da Bondo - Un anno che ci ha cambiati,13,196,13
2020-11-09,die die Schweiz bewegten - Mord im Hafturlaub,13,196,13
2020-12-03,Que savez-vous du clitoris ?,13,195,13
2021-02-07,Vieillir musclé,13,195,13
2020-11-16,Adesso basta... cambio vita!,13,194,13
2020-11-15,Altitudes,13,193,13
2021-03-03,Il Demolitore di Camper,13,193,13
2021-01-06,Dawn,13,193,13
2020-12-20,Descente en cuisine,13,191,13
2021-02-23,Bernhard Russi,13,191,13
2021-01-06,Die Alp-Träumer,13,190,13
2020-11-16,Ondes de choc - Prénom : Mathieu,13,190,13
2020-11-19,Geneve; paradis des dictateurs,13,190,13
2021-01-24,Fake: Lügen im digitalen Zeitalter,13,189,13
2021-01-20,Ondes de choc - Prénom : Mathieu,13,189,13
2020-11-10,Credit Suisse – Anatomie eines Skandals,13,189,13
2021-01-21,Au Pair,13,188,13
2020-12-22,Blenio; Utah,13,188,13
2021-03-07,Haute route d hiver,13,187,13
2020-11-15,Vieillir musclé,13,187,13
2021-03-25,Fokus Japan,13,186,13
2021-01-05,Schweiz von oben - Bückerflug,13,186,13
2021-01-20,Wasserwelten,13,185,13
2020-11-11,Tatort - Friss oder stirb,13,185,13
2021-01-09,Ma liberté en cabane,13,185,13
2021-02-10,War der erste Mensch ein Europäer?,13,185,13
2020-12-14,Comment j ai survécu à la montagne,13,185,13
2020-11-14,Vieillir musclé,13,184,13
2021-02-13,Lauberhorn – Licht und Schatten am Schicksalsberg,13,184,13
2021-03-14,Die Skilehrer,13,184,13
2021-01-05,Ondes de choc - Prénom : Mathieu,13,184,13
2021-01-02,120 secondes présente la Suisse,13,184,13
2021-01-01,Que savez-vous du clitoris ?,13,183,13
2021-02-18,Einstein und das Geheimnis des Cheops,13,183,13
2020-12-21,Jump,13,183,13
2021-03-03,La tête dans les nuages,13,183,13
2020-11-29,Matto regiert,13,183,13
2020-12-13,Au fil des toblerones,13,183,13
2021-03-14,Lauberhorn – Licht und Schatten am Schicksalsberg,13,181,13
2021-03-19,Abenteuer Moscow,13,181,13
2020-11-20,Hombi; la tête dans les nuages,13,180,13
2021-02-12,L’appel aux arbres,13,179,13
2021-01-10,Costa Rica grandeur nature !,13,179,13
2020-12-28,Mein anderes Russland,13,179,13
2021-03-24,Abenteuer Alpen - Die Skitour des Lebens,13,179,13
2020-12-11,NETZ NATUR - Rehbock; ledig; sucht...,13,179,13
2020-12-25,EMS-Chemie – Dunkle Helfer nach dem Zweiten Weltkrieg,13,179,13
2020-12-19,Der Mond und wir,13,179,13
2020-11-19,Vecchi pazzi,13,178,13
2020-12-19,Swiss Elvis,13,178,13
2020-12-26,NETZ NATUR - Unsere Verwandten im Wasser,13,178,13
2020-12-06,L Amérique à vélo,13,177,13
2021-02-18,Cuntrasts - La plevonessa illegala,13,177,13
2021-01-04,Costa Rica grandeur nature !,13,177,13
2020-11-17,Gutachter des Bösen – Die Ära Frank Urbaniok,13,177,13
2020-11-18,Die Langstrasse im Wandel,13,176,13
2020-11-21,Les dessus du Gothard,13,176,13
2020-12-21,Sur la piste des damnés de Daesh,13,176,13
2021-02-14,Lauberhorn – Licht und Schatten am Schicksalsberg,13,176,13
2021-01-19,Geneve; paradis des dictateurs,13,176,13
2021-01-31,Wasserwelten,13,176,13
2021-02-17,Steve Lee - La voce gentile del rock,13,175,13
2020-12-30,Bärenstark – Lunas Weg in die Freiheit,13,175,13
2021-02-27,Pause,13,175,13
2020-12-25,Hombi; la tête dans les nuages,13,174,13
2021-02-25,Wir sind die Schweiz,13,174,13
2021-01-03,L Amérique à vélo,13,173,13
2021-03-10,Songs of Love and Hate,13,172,13
2020-11-22,Lauberhorn – Licht und Schatten am Schicksalsberg,13,172,13
2021-02-20,Nacht in der Schweiz,13,172,13
2021-01-03,La Valle del Trient,13,171,13
2020-11-09,Petits machos,13,171,13
2020-12-25,Comment j ai survécu au lac,13,171,13
2020-12-26,Comment j ai survécu au lac,13,171,13
2020-11-09,8x15 - KiFF Aarau 2012,13,171,13
2021-02-08,Gotthard - One life; one soul,13,171,13
2020-11-29,Ma liberté en cabane,13,170,13
2020-11-17,50+ und arbeitslos,13,170,13
2021-01-03,Die jungen Tierärzte,13,169,13
2020-11-17,Lauberhorn – Licht und Schatten am Schicksalsberg,13,169,13
2020-11-15,Geneve; paradis des dictateurs,13,167,13
2020-12-18,Au fil des toblerones,13,167,13
2021-02-09,Collection Lockdown (2nd Wave) - Ich will ihnen kein Geheimnis verraten,13,167,13
2021-03-22,Il était une fois larmée secrète suisse,13,166,13
2020-12-16,Cronofobia,13,166,13
2021-01-04,Thorberg Hinter Gittern,13,166,13
2020-12-03,Cuntrasts - La princessa da Samedan,13,166,13
2020-12-27,Tauwetter und Tiefschnee am Wiriehorn,13,166,13
2020-12-25,Die Alp-Träumer,13,166,13
2021-03-23,Nr. 47,13,165,13
2020-11-18,War der erste Mensch ein Europäer?,13,165,13
2021-03-13,L incredibile giro del mondo del Facchinetti di Curio,13,165,13
2021-02-22,Die Forensikerin – Von Verbrechern und ihren Spuren,13,164,13
2021-01-08,Die Alp-Träumer,13,164,13
2020-12-27,Bärenstark – Lunas Weg in die Freiheit,13,163,13
2020-11-14,Cryothérapie et plongée en eau froide,13,163,13
2020-11-29,Hombi; la tête dans les nuages,13,163,13
2021-01-02,La buca,13,163,13
2021-02-17,Sagenhaft - Geschichten aus der mystischen Schweiz,13,162,13
2020-12-20,L Amérique à vélo,13,161,13
2020-12-11,Le monde de Jérémie Heitz,13,161,13
2020-11-10,Einstein - Epigenetik – Sind wir Gene oder Umwelt?,13,161,13
2020-11-22,Cryothérapie et plongée en eau froide,13,161,13
2021-02-22,Das Fräulein,13,161,13
2020-12-06,Il était une fois Crans-Montana,13,160,13
2021-03-12,L intrusa,13,159,13
2020-11-10,Reine des 3 pays,13,159,13
2020-12-29,La Valle del Trient,13,159,13
2020-12-20,Les dessus du Gothard,13,159,13
2020-12-28,Ma liberté en cabane,13,159,13
2020-11-15,Swiss Elvis,13,158,13
2020-12-24,Cronache da Bondo - Un anno che ci ha cambiati,13,158,13
2021-01-12,Slow TV - Winter Wunderland Goms,13,158,13
2020-11-12,Foodwaste – Was tun?,13,157,13
2020-11-16,Miséricorde,13,157,13
2020-12-26,Un juif pour l exemple,13,157,13
2020-12-12,Que savez-vous du clitoris ?,13,157,13
2021-03-05,Vater; unser Wille geschehe,13,157,13
2020-11-07,J.S. Bach: Passione secondo Matteo - Seconda parte,13,157,13
2020-11-28,Ti tradisco,13,156,13
2021-01-05,Collection Lockdown (2nd Wave) - Zoom sur le cirque,13,156,13
2021-01-16,Collection Lockdown (2nd Wave) - Ich will ihnen kein Geheimnis verraten,13,156,13
2020-11-28,Moon Race 2.0 – Das Rennen zum Mond damals und heute,13,156,13
2020-11-07,E-Scooter-Boom: Hype oder mobile Revolution?,13,156,13
2020-11-11,L Amérique à vélo,13,156,13
2020-12-26,Cuntrasts - Jau ta dun la glina - Not Vital,13,156,13
2021-01-06,Schweiz von oben,13,155,13
2020-12-21,Shelter,13,155,13
2021-01-05,NETZ NATUR - Rehbock; ledig; sucht...,13,155,13
2020-12-12,30 anni a novembre,13,155,13
2020-11-23,Ma vie de courgette,13,154,13
2020-12-06,1918; fuga dalla Russia,13,154,13
2021-01-16,Le dame della Belle Époque,13,154,13
2020-12-29,Un autre pain est possible,13,154,13
2021-02-27,Der Spitzel und die Chaoten,13,154,13
2020-12-12,Arktos : Le Voyage Intérieur de Mike Horn,13,153,13
2020-11-13,La Suisse; les opioïdes et le piège américain,13,153,13
2021-02-11,Privater See,13,153,13
2020-12-13,Die Forensikerin – Von Verbrechern und ihren Spuren,13,153,13
2021-02-27,Come state? I Grigioni sotto il giogo del Covid-19,13,153,13
2020-12-01,Amur senza fin,13,152,13
2020-12-31,Sitting next to Zoe,13,152,13
2020-11-16,Descente en cuisine,13,152,13
2020-12-30,Cuntrasts : Aurelio va - cun velo da Sedrun a Tailanda,13,151,13
2021-01-22,Dietro le quinte del lusso,13,151,13
2021-01-29,Abenteuer New York,13,151,13
2020-12-19,Comment j ai survécu à la montagne,13,151,13
2021-01-07,Le monde de Jérémie Heitz,13,151,13
2020-12-05,Sur la piste des damnés de Daesh,13,150,13
2021-01-03,Hombi; la tête dans les nuages,13,150,13
2020-11-21,Costa Rica grandeur nature !,13,150,13
2021-03-12,Seidenstrasse,13,150,13
2021-02-27,Quel piccolo mondo antico,13,150,13
2020-12-21,Dans le viseur du royaume Saoudien,13,149,13
2021-03-12,Metta da fein,13,149,13
2020-11-29,Blenio; Utah,13,149,13
2020-11-24,Madame,13,149,13
2020-12-24,La Valle del Trient,13,149,13
2021-03-11,Cuntrasts : Aurelio va - cun velo da Sedrun a Tailanda,13,148,13
2020-12-01,Jihad inside,13,147,13
2021-03-12,Lento è bello,13,147,13
2021-03-01,Die Brüder Nicole: Geboren; um zu klettern,13,147,13
2020-12-13,Cuntrasts - Cun palutta e furtga - Il project Rebecca Clipath,13,146,13
2020-12-25,Wachtmeister Studer,13,144,13
2021-02-21,Lalchimiste de limage,13,144,13
2020-12-09,Dune jungle à lautre,13,144,13
2021-01-19,30 anni a novembre,13,144,13
2021-01-30,Valle di Muggio; la légende,13,144,13
2021-02-19,Lalchimiste de limage,13,143,13
2020-12-25,Konzert Steiner & Madlaina,13,143,13
2020-11-30,Bernhard Russi,13,143,13
2021-01-16,Blenio; Utah,13,142,13
2021-01-03,Bärenstark – Lunas Weg in die Freiheit,13,142,13
2020-12-28,Swiss Elvis,13,142,13
2020-12-28,Almost there,13,141,13
2020-12-18,Ein Schweizer Cop in New Orleans,13,141,13
2020-12-14,La mia Albigna,13,141,13
2021-03-10,Metta da fein,13,141,13
2020-12-19,Figli? No; grazie,13,140,13
2020-12-11,Lauberhorn – Licht und Schatten am Schicksalsberg,13,140,13
2020-11-10,San Gottardo,13,140,13
2021-01-22,Die Schweizer Geheimarmee P-26,13,140,13
2021-01-06,Cuntrasts - Il misteri da Bargun - cronica d in mazzament da chatscha (2/2),13,139,13
2021-02-26,TSR in Wengen,13,139,13
2020-11-19,DOK: Schweizer Erfolgsgeschichten,13,139,13
2021-02-07,Io sono una sirena,13,139,13
2020-11-14,Ein Schweizer Cop in New Orleans,13,139,13
2020-11-11,Petits machos,13,138,13
2021-01-01,Collection Lockdown (2nd Wave) - Zum Coiffeur,13,137,13
2020-11-18,Die Forensikerin – Von Verbrechern und ihren Spuren,13,137,13
2020-12-21,Que savez-vous du clitoris ?,13,136,13
2021-03-10,Retour dAfrique,13,136,13
2021-01-30,Collection Lockdown (2nd Wave) - Zum Coiffeur,13,136,13
2020-12-18,Adesso basta... cambio vita!,13,135,13
2020-11-13,Ernährungsmythen – Alles Glaubenssache?,13,135,13
2020-12-19,Konzert Seven,13,135,13
2020-11-08,Ernährungswahn,13,135,13
2021-01-23,Geneve; paradis des dictateurs,13,135,13
2021-02-16,Der Teufel von Mailand,13,134,13
2020-12-10,1918; fuga dalla Russia,13,134,13
2020-11-10,Al canto del cucù – Wenn der Kuckuck ruft,13,134,13
2020-11-19,I cani di San Bernardo,13,134,13
2021-02-21,La stagiaire,13,134,13
2021-01-01,Ondes de choc - La Vallée,13,133,13
2021-01-30,Ma liberté en cabane,13,133,13
2020-11-14,Figli? No; grazie,13,132,13
2020-11-28,Acque (ancora) scure,13,132,13
2020-12-11,Que savez-vous du clitoris ?,13,132,13
2020-12-06,Obsession alimentaire; la peur au ventre,13,132,13
2021-03-18,Lenz,13,132,13
2020-12-07,Cronache da Bondo - Un anno che ci ha cambiati,13,131,13
2021-02-08,Lewis; l île ivre de vent,13,131,13
2020-11-18,Altitudes,13,131,13
2020-11-21,CROM (Centre de recyclage des ordures ménagères),13,130,13
2021-01-02,Ondes de choc - Prénom : Mathieu,13,130,13
2020-11-15,La nature en culotte courte,13,130,13
2020-12-29,Le dame della Belle Époque,13,129,13
2020-12-10,Glacier 3000 – Schnee und Spiele für die Asiaten,13,129,13
2020-11-26,Le dame della Belle Époque,13,128,13
2020-11-09,Der hochbegabte Maximilian,13,128,13
2020-12-18,Glacier 3000 – Schnee und Spiele für die Asiaten,13,126,13
2020-11-15,La magia dei Denti della Vecchia,13,126,13
2020-12-19,Beethoven - Sinfonia n. 8,13,126,13
2020-12-11,L’appel aux arbres,13,126,13
2020-12-09,Dans le viseur du royaume Saoudien,13,125,13
2020-11-10,Vielen Dank für nichts,13,125,13
2020-11-10,Tauwetter und Tiefschnee am Wiriehorn,13,125,13
2021-01-11,Im Namen der Gerechtigkeit,13,124,13
2021-01-03,Yoga - I segreti di un successo,13,124,13
2020-11-07,Matchmaker,13,123,13
2020-11-09,Ernährungsmythen – Alles Glaubenssache?,13,123,13
2020-12-29,30 anni a novembre,13,123,13
2020-12-20,DOK: Schweizer Erfolgsgeschichten,13,122,13
2021-01-06,1918; fuga dalla Russia,13,122,13
2021-03-11,Yugodivas,13,121,13
2021-01-16,Collection Lockdown (2nd Wave) - Zoom sur le cirque,13,121,13
2021-01-02,Thorberg Hinter Gittern,13,120,13
2020-12-28,Die Forensikerin – Von Verbrechern und ihren Spuren,13,120,13
2020-11-24,NETZ NATUR - Rehbock; ledig; sucht...,13,120,13
2020-11-23,Quel piccolo mondo antico,13,119,13
2021-03-25,Titeuf; le film,13,119,13
2020-11-11,La nature en culotte courte,13,119,13
2021-03-20,Il était une fois larmée secrète suisse,13,119,13
2021-03-19,Wasserwelten,13,118,13
2021-01-14,Glacier 3000 – Schnee und Spiele für die Asiaten,13,118,13
2020-12-18,Konzert Steff La Cheffe,13,118,13
2021-01-26,Konzert Stiller Has,13,117,13
2020-12-11,Adesso basta... cambio vita!,13,117,13
2021-01-07,Cercando Camille,13,117,13
2020-12-21,La mia Albigna,13,116,13
2021-01-12,Collection Lockdown (2nd Wave) - Stille essen,13,116,13
2020-11-27,La Via Idra,13,115,13
2020-12-03,Le monde de Jérémie Heitz,13,115,13
2020-12-18,NETZ NATUR - Rehbock; ledig; sucht...,13,115,13
2020-12-30,Swiss Elvis,13,115,13
2020-11-22,30 anni a novembre,13,115,13
2020-12-18,Cuntrasts - Igl rutsch,13,115,13
2021-01-16,Konzert Sina,13,114,13
2021-01-03,Il était une fois Crans-Montana,13,114,13
2020-11-30,La Via Svizzera,13,113,13
2021-01-30,Bastarde,13,113,13
2020-11-23,Gennaro Pulice: un killer a Viganello,13,113,13
2020-12-20,La Via Idra,13,113,13
2021-01-12,Collection Lockdown (2nd Wave) - Zoom sur le cirque,13,112,13
2020-12-16,Cuntrasts - Il misteri da Bargun - cronica d in mazzament da chatscha (2/2),13,112,13
2020-12-09,NETZ NATUR - Rehbock; ledig; sucht...,13,111,13
2020-11-30,Adesso basta... cambio vita!,13,110,13
2021-03-08,Advent; Advent,13,110,13
2021-03-03,Ondes de choc - La Vallée,13,110,13
2021-02-20,L intrusa,13,109,13
2021-03-06,Retour dAfrique,13,108,13
2021-01-11,Flics et prostituées; les liaisons dangereuses,13,107,13
2021-01-07,Un autre pain est possible,13,107,13
2021-01-04,Collection Lockdown (2nd Wave) - Peste et Corona,13,105,13
2020-12-27,L Amérique à vélo,13,105,13
2020-12-23,L’appel aux arbres,13,104,13
2021-01-15,Konzert Sina,13,104,13
2020-11-28,Les aventures du p tit Louis,13,104,13
2021-01-01,Antarctique; ma planète blanche,13,102,13
2020-12-16,Lauberhorn – Licht und Schatten am Schicksalsberg,13,102,13
2020-11-18,The silk runners,13,102,13
2021-01-04,Cleveland versus Wall Street,13,101,13
2021-02-27,Heute - gestern - morgen: 75 Jahre RTR,13,101,13
2021-01-17,Collection Lockdown (2nd Wave) - Peste et Corona,13,101,13
2021-03-01,Haute route d hiver,13,101,13
2020-11-08,Cuntrasts - La princessa da Samedan,13,99,13
2020-11-16,Die Forensikerin – Von Verbrechern und ihren Spuren,13,99,13
2020-11-27,Tipi da crociera,13,99,13
2020-12-13,Comment j ai survécu à la montagne,13,99,13
2020-12-16,Moon Race 2.0 – Das Rennen zum Mond damals und heute,13,98,13
2020-11-17,I due volti della Siberia,13,98,13
2020-12-23,La Svizzera dei misteri,13,98,13
2020-11-18,Vincent Munier; Éternel Émerveillé,13,98,13
2020-11-19,La Svizzera dei misteri,13,98,13
2020-11-16,Blindflug,13,98,13
2020-12-26,Konzert Seven,13,97,13
2020-12-10,Cuntrasts - Il misteri da Bargun - cronica d in mazzament da chatscha (2/2),13,97,13
2021-02-14,Güsel - Die Abfalldetektive,13,97,13
2020-11-08,Il viaggio di Laura,13,96,13
2021-01-01,Flics et prostituées; les liaisons dangereuses,13,96,13
2020-12-13,L Amérique à vélo,13,96,13
2021-01-23,Ti tradisco,13,95,13
2020-11-11,Sind unsere Insekten noch zu retten?,13,95,13
2020-11-09,Iruka Muzungu,13,95,13
2021-01-28,Konzert Stiller Has,13,94,13
2020-12-10,L’appel aux arbres,13,94,13
2021-02-10,Il pianeta dei robot,13,94,13
2020-11-16,Maigrir sans reprendre?,13,93,13
2020-11-14,Ernährungsmythen – Alles Glaubenssache?,13,93,13
2021-01-08,Collection Lockdown (2nd Wave) - Zoom sur le cirque,13,93,13
